iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
34,on,10,3,6,96,-0.0010263319109071745,0.1281650811433792,0.275,1.0,248.66381645202637,9.938621282577515,0.8333673477172852,259.45516324043274,8626.981735229492,7,gated,0.42857142857142855,0.3,0.5,25.0
35,on,10,3,5,96,0.006972530682105571,0.15284091234207153,0.4125,1.0,218.35719561576843,13.067715644836426,0.741077184677124,232.19025874137878,8859.171993970871,7,gated,0.2857142857142857,0.3,0.6,16.666666666666664
36,on,10,0,5,96,-0.0018542853035796725,0.12099003791809082,0.5375,1.0,274.4540202617645,12.902193069458008,0.8442282676696777,288.2270596027374,9147.399053573608,7,gated,0.5,0.0,0.0,41.66666666666667
37,on,10,0,6,96,0.00427335815038532,0.17279177904129028,0.475,1.0,254.14110827445984,11.159178495407104,0.863659143447876,266.1855411529541,9413.584594726562,7,gated,0.6,0.0,0.0,50.0
38,on,10,4,4,96,-0.01917216922447551,0.2030406892299652,0.4125,1.0,226.334623336792,13.472643852233887,0.7315690517425537,240.56758093833923,9654.152175664902,7,gated,0.0,0.4,1.0,0.0
39,on,10,0,5,96,-0.012819231662433594,0.2611182630062103,0.5625,1.0,267.67860746383667,14.931947231292725,0.8535864353179932,283.48452138900757,9937.63669705391,7,gated,0.5,0.0,0.0,41.66666666666667
40,on,10,1,4,96,-0.006335789250442758,0.17659279704093933,0.45,1.0,278.44836163520813,11.512455940246582,0.8678181171417236,290.8568546772003,10228.49355173111,7,gated,0.3333333333333333,0.1,0.25,25.0
41,on,10,0,4,96,-8.48037114451472e-05,0.16625595092773438,0.6125,1.0,256.834680557251,11.463220834732056,0.8462707996368408,269.1697909832001,10497.66334271431,7,gated,0.4,0.0,0.0,33.33333333333333
42,on,10,1,5,96,-0.012988091970328242,0.09943211078643799,0.4,1.0,264.11282873153687,13.54253077507019,0.8544862270355225,278.53392481803894,10776.197267532349,7,gated,0.4444444444444444,0.1,0.2,33.33333333333333
43,on,10,3,5,96,0.005016852475819178,0.16734559834003448,0.525,1.0,217.69461703300476,14.521808624267578,0.7535080909729004,232.99155497550964,11009.188822507858,7,gated,0.2857142857142857,0.3,0.6,16.666666666666664
44,on,10,1,3,96,-0.011347030333126895,0.12278979271650314,0.3125,1.0,269.52690052986145,10.237675666809082,0.8580806255340576,280.64753222465515,11289.836354732513,7,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
