task_type,K,metric,n,spearman_rho,p_value,auroc_nonzero_var
pick_and_place_simple,5,prefix_edit_distance_mean,24,-0.053860393373381873,0.8026212001643471,0.5594405594405595
pick_and_place_simple,5,obs_unique_ratio,24,-0.11429920821820468,0.5948606985052852,0.534965034965035
pick_and_place_simple,5,termination_fraction,24,-0.3288510285934216,0.11663960178404942,0.3846153846153846
pick_and_place_simple,5,action_entropy,24,-0.01654038501021389,0.9388540629233026,0.5804195804195804
pick_and_place_simple,10,unique_action_ratio,24,0.2564757142511893,0.22637176139991405,0.6923076923076923
pick_and_place_simple,10,unique_prefix_ratio,24,0.18653691104225212,0.3827976557992243,0.6748251748251748
pick_and_place_simple,10,action_bigram_jaccard_mean,24,0.1381472644540289,0.5197377757769466,0.6643356643356644
pick_and_place_simple,10,prefix_edit_distance_mean,24,0.06531498916317659,0.7617229055618235,0.6153846153846154
pick_and_place_simple,10,obs_unique_ratio,24,0.27198873502200305,0.1985347023165125,0.7027972027972028
pick_and_place_simple,10,termination_fraction,24,-0.3409223814527856,0.10304238942614077,0.38111888111888115
pick_and_place_simple,10,action_entropy,24,0.2386238724549223,0.26146948855401225,0.6783216783216782
pick_and_place_simple,15,unique_action_ratio,24,0.6878647801340693,0.00020343342640751503,0.8566433566433567
pick_and_place_simple,15,unique_prefix_ratio,24,0.5739386379619407,0.0033613493706539654,0.8181818181818181
pick_and_place_simple,15,action_bigram_jaccard_mean,24,0.4286482779252502,0.03662303434389521,0.7762237762237763
pick_and_place_simple,15,prefix_edit_distance_mean,24,0.3990744916625564,0.05338147680389309,0.7692307692307693
pick_and_place_simple,15,obs_unique_ratio,24,0.6198827384025105,0.001234228128647517,0.8216783216783217
pick_and_place_simple,15,termination_fraction,24,-0.5500935921821447,0.005353151546725719,0.24475524475524474
pick_and_place_simple,15,action_entropy,24,0.6464252747456024,0.0006427361892797647,0.8286713286713286
pick_and_place_simple,20,unique_action_ratio,24,0.6496663693042046,0.0005910299954463279,0.8216783216783217
pick_and_place_simple,20,unique_prefix_ratio,24,0.5875893423949153,0.002534438119309617,0.8076923076923077
pick_and_place_simple,20,action_bigram_jaccard_mean,24,0.5051926132690447,0.011800259220142145,0.7972027972027972
pick_and_place_simple,20,prefix_edit_distance_mean,24,0.5856920597061979,0.002637816512860671,0.8461538461538463
pick_and_place_simple,20,obs_unique_ratio,24,0.6455655453620855,0.0006570897711331051,0.8111888111888111
pick_and_place_simple,20,termination_fraction,24,-0.525575732501769,0.008350262088807922,0.24825174825174826
pick_and_place_simple,20,action_entropy,24,0.6611973991063534,0.000435071758090567,0.8251748251748252
pick_clean_then_place_in_recep,5,unique_action_ratio,18,0.24958961840578123,0.3178804705407658,0.6923076923076923
pick_clean_then_place_in_recep,5,unique_prefix_ratio,18,0.2817651593712431,0.2573200553603168,0.6923076923076923
pick_clean_then_place_in_recep,5,action_bigram_jaccard_mean,18,0.13446461275319518,0.594756895653644,0.5769230769230769
pick_clean_then_place_in_recep,5,prefix_edit_distance_mean,18,-0.09018309369391005,0.7219360336442896,0.45384615384615384
pick_clean_then_place_in_recep,5,obs_unique_ratio,18,0.24840385381361318,0.3202608099879368,0.6461538461538461
pick_clean_then_place_in_recep,5,termination_fraction,18,-0.3165296641059223,0.20064256276510944,0.4
pick_clean_then_place_in_recep,5,action_entropy,18,0.14271362816709143,0.572128751123726,0.6538461538461537
pick_clean_then_place_in_recep,10,unique_action_ratio,18,0.24627870616068953,0.324553121102898,0.7153846153846153
pick_clean_then_place_in_recep,10,unique_prefix_ratio,18,0.17444912755274164,0.48873108571395496,0.676923076923077
pick_clean_then_place_in_recep,10,action_bigram_jaccard_mean,18,0.1742415021213836,0.4892566901517082,0.6307692307692307
pick_clean_then_place_in_recep,10,prefix_edit_distance_mean,18,0.04906508139611918,0.8466953543681053,0.5615384615384615
pick_clean_then_place_in_recep,10,obs_unique_ratio,18,0.19409461523975774,0.44026913839500814,0.7
