task_id,label,wall_time_sec,step_tokens,rewards_mean,rewards_var,won,group_size,max_steps_cap,gate_cut
look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,gated,28.14077663421631,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-Ladle-None-CounterTop-14/trial_T20190909_113844_191747,gated,28.00332260131836,157,0.875,0.109375,7,8,30,0
pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-406/trial_T20190908_122858_883968,gated,4.984554290771484,40,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-WineBottle-None-DiningTable-17/trial_T20190908_024426_412044,gated,37.8738534450531,212,0.375,0.234375,3,8,30,0
pick_cool_then_place_in_recep-Pot-None-DiningTable-21/trial_T20190909_004531_429065,gated,31.07265281677246,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Candle-None-Cart-401/trial_T20190909_081908_677973,gated,27.59360408782959,186,0.625,0.234375,5,8,30,0
pick_and_place_simple-WineBottle-None-Shelf-7/trial_T20190907_200154_378982,gated,12.166677474975586,80,0.0,0.0,0,8,30,1
pick_two_obj_and_place-SprayBottle-None-Toilet-402/trial_T20190910_222914_814642,gated,28.30282688140869,240,0.0,0.0,0,8,30,0
pick_cool_then_place_in_recep-Tomato-None-CounterTop-12/trial_T20190909_063754_216554,gated,35.19316792488098,240,0.0,0.0,0,8,30,0
pick_heat_then_place_in_recep-Mug-None-SideTable-21/trial_T20190909_090729_088825,gated,31.0746169090271,208,0.25,0.1875,2,8,30,0
pick_cool_then_place_in_recep-Cup-None-SideTable-21/trial_T20190906_192823_237997,gated,22.56034231185913,105,0.75,0.1875,6,8,30,0
pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-16/trial_T20190908_184242_348366,gated,18.461187839508057,80,0.0,0.0,0,8,30,1
pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-1/trial_T20190907_222640_487432,gated,32.567445278167725,183,0.625,0.234375,5,8,30,0
pick_two_obj_and_place-SprayBottle-None-Cabinet-407/trial_T20190907_144556_144188,gated,29.416093587875366,240,0.0,0.0,0,8,30,0
pick_cool_then_place_in_recep-Tomato-None-CounterTop-12/trial_T20190909_063844_274181,gated,31.558194637298584,233,0.125,0.109375,1,8,30,0
pick_two_obj_and_place-Box-None-CoffeeTable-213/trial_T20190906_200927_069627,gated,11.088940858840942,80,0.0,0.0,0,8,30,1
pick_two_obj_and_place-Pan-None-CounterTop-14/trial_T20190907_012519_974044,gated,10.82409119606018,80,0.0,0.0,0,8,30,1
pick_heat_then_place_in_recep-Tomato-None-Fridge-15/trial_T20190909_020200_054379,gated,27.61245894432068,165,0.75,0.1875,6,8,30,0
pick_cool_then_place_in_recep-Lettuce-None-CounterTop-11/trial_T20190908_222555_651605,gated,29.742417812347412,240,0.125,0.109375,1,8,30,0
pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234406_356490,gated,13.202049016952515,89,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173120_350651,gated,23.857973098754883,83,1.0,0.0,8,8,30,0
pick_clean_then_place_in_recep-Spatula-None-DiningTable-4/trial_T20190909_002804_564168,gated,21.049928188323975,133,1.0,0.0,8,8,30,0
pick_two_obj_and_place-Spatula-None-Drawer-13/trial_T20190908_183331_203888,gated,36.74361801147461,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,gated,26.089574813842773,165,0.875,0.109375,7,8,30,0
pick_cool_then_place_in_recep-Bowl-None-Cabinet-20/trial_T20190909_112912_154874,gated,32.033589124679565,236,0.25,0.1875,2,8,30,0
pick_and_place_simple-SprayBottle-None-Cabinet-413/trial_T20190907_114931_692464,gated,19.248677968978882,133,1.0,0.0,8,8,30,0
look_at_obj_in_light-Pillow-None-DeskLamp-323/trial_T20190908_053153_077977,gated,7.140555143356323,40,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Bread-None-CounterTop-7/trial_T20190909_045605_307949,gated,30.354305267333984,202,0.75,0.1875,6,8,30,0
pick_two_obj_and_place-ToiletPaper-None-Toilet-408/trial_T20190909_080302_174780,gated,26.49424457550049,219,0.125,0.109375,1,8,30,0
pick_and_place_simple-Bowl-None-CoffeeTable-201/trial_T20190907_171639_045329,gated,10.978666543960571,63,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Tomato-None-GarbageCan-6/trial_T20190909_082934_483899,gated,27.58728337287903,143,0.875,0.109375,7,8,30,0
pick_and_place_simple-RemoteControl-None-Sofa-207/trial_T20190909_153609_373481,gated,4.900466203689575,32,1.0,0.0,8,8,30,0
pick_clean_then_place_in_recep-Plate-None-Fridge-5/trial_T20190909_112854_740612,gated,31.60673427581787,186,0.875,0.109375,7,8,30,0
look_at_obj_in_light-CD-None-DeskLamp-314/trial_T20190907_114323_767231,gated,23.17306160926819,184,0.625,0.234375,5,8,30,0
