rule,K,d_low,TP,FP,prec,rec,f1,savings,n_params,t_low,t_high,d_high
R3,5,0.21999999999999995,23,17,0.575,0.5897435897435898,0.5822784810126582,0.19166666666666668,2,,0.5,
R3,5,0.21999999999999995,23,17,0.575,0.5897435897435898,0.5822784810126582,0.19166666666666668,2,,0.55,
R3,5,0.21999999999999995,23,17,0.575,0.5897435897435898,0.5822784810126582,0.19166666666666668,2,,0.6,
R3,5,0.21999999999999995,22,17,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.18333333333333332,2,,0.65,
R3,5,0.21999999999999995,22,17,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.18333333333333332,2,,0.7,
R3,5,0.21999999999999995,22,17,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.18333333333333332,2,,0.75,
R3,5,0.21999999999999995,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.8,
R3,5,0.21999999999999995,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.8500000000000001,
R3,5,0.21999999999999995,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.9,
R3,5,0.21999999999999995,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.95,
R3,5,0.21999999999999995,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,1.0,
R3,5,0.23999999999999996,23,18,0.5609756097560976,0.5897435897435898,0.575,0.19166666666666668,2,,0.5,
R3,5,0.23999999999999996,23,18,0.5609756097560976,0.5897435897435898,0.575,0.19166666666666668,2,,0.55,
R3,5,0.23999999999999996,23,18,0.5609756097560976,0.5897435897435898,0.575,0.19166666666666668,2,,0.6,
R3,5,0.23999999999999996,22,18,0.55,0.5641025641025641,0.5569620253164557,0.18333333333333332,2,,0.65,
R3,5,0.23999999999999996,22,18,0.55,0.5641025641025641,0.5569620253164557,0.18333333333333332,2,,0.7,
R3,5,0.23999999999999996,22,18,0.55,0.5641025641025641,0.5569620253164557,0.18333333333333332,2,,0.75,
R3,5,0.23999999999999996,21,18,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.175,2,,0.8,
R3,5,0.23999999999999996,21,18,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.175,2,,0.8500000000000001,
R3,5,0.23999999999999996,21,18,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.175,2,,0.9,
R3,5,0.23999999999999996,21,18,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.175,2,,0.95,
R3,5,0.23999999999999996,21,18,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.175,2,,1.0,
R3,5,0.25999999999999995,25,23,0.5208333333333334,0.6410256410256411,0.5747126436781609,0.20833333333333334,2,,0.5,
R3,5,0.25999999999999995,25,23,0.5208333333333334,0.6410256410256411,0.5747126436781609,0.20833333333333334,2,,0.55,
R3,5,0.25999999999999995,25,23,0.5208333333333334,0.6410256410256411,0.5747126436781609,0.20833333333333334,2,,0.6,
R3,5,0.25999999999999995,24,23,0.5106382978723404,0.6153846153846154,0.558139534883721,0.2,2,,0.65,
R3,5,0.25999999999999995,24,23,0.5106382978723404,0.6153846153846154,0.558139534883721,0.2,2,,0.7,
R3,5,0.25999999999999995,24,23,0.5106382978723404,0.6153846153846154,0.558139534883721,0.2,2,,0.75,
R3,5,0.25999999999999995,23,23,0.5,0.5897435897435898,0.5411764705882353,0.19166666666666668,2,,0.8,
R3,5,0.25999999999999995,23,23,0.5,0.5897435897435898,0.5411764705882353,0.19166666666666668,2,,0.8500000000000001,
